county,year,total,fatal,serious_injury
Miami-Dade,2011,1594,187,1407
Hillsborough,2011,1235,101,1134
Broward,2011,1189,117,1072
Pinellas,2011,866,83,783
Palm Beach,2011,606,79,527
Orange,2011,551,76,475
Duval,2011,514,67,447
Volusia,2011,459,62,397
Pasco,2011,387,36,351
Polk,2011,376,65,311
Brevard,2011,334,59,275
Escambia,2011,315,35,280
Manatee,2011,304,29,275
Lee,2011,275,49,226
Marion,2011,262,35,227
Alachua,2011,223,19,204
Sarasota,2011,207,24,183
Bay,2011,192,22,170
Santa Rosa,2011,181,16,165
Okaloosa,2011,157,20,137
Leon,2011,145,21,124
Hernando,2011,144,17,127
Lake,2011,141,33,108
Monroe,2011,140,15,125
St. Johns,2011,138,20,118
Seminole,2011,134,36,98
St. Lucie,2011,124,16,108
Collier,2011,124,22,102
Sumter,2011,122,15,107
Flagler,2011,122,22,100
Osceola,2011,120,31,89
Charlotte,2011,114,21,93
Columbia,2011,113,23,90
Walton,2011,113,13,100
Martin,2011,100,22,78
Citrus,2011,95,8,87
Indian River,2011,84,14,70
Putnam,2011,75,11,64
Highlands,2011,71,9,62
Levy,2011,70,10,60
Clay,2011,69,11,58
Suwannee,2011,67,8,59
Jackson,2011,56,12,44
Gadsden,2011,52,4,48
Hardee,2011,47,8,39
Nassau,2011,46,12,34
Desoto,2011,46,6,40
Baker,2011,40,11,29
Madison,2011,40,6,34
Washington,2011,35,4,31
Hamilton,2011,32,8,24
Hendry,2011,29,8,21
Gilchrist,2011,28,1,27
Taylor,2011,25,1,24
Okeechobee,2011,25,3,22
Bradford,2011,24,8,16
Jefferson,2011,24,8,16
Dixie,2011,23,5,18
Holmes,2011,21,5,16
Calhoun,2011,17,5,12
Union,2011,15,1,14
Gulf,2011,14,1,13
Liberty,2011,13,3,10
Glades,2011,13,5,8
Wakulla,2011,12,2,10
Franklin,2011,7,2,5
Lafayette,2011,6,1,5
Miami-Dade,2012,1697,196,1501
Broward,2012,1491,155,1336
Hillsborough,2012,1412,153,1259
Pinellas,2012,1012,90,922
Orange,2012,841,122,719
Duval,2012,822,107,715
Palm Beach,2012,759,103,656
Volusia,2012,582,84,498
Pasco,2012,468,58,410
Brevard,2012,459,46,413
Lee,2012,425,57,368
Manatee,2012,379,39,340
Polk,2012,378,73,305
Marion,2012,334,58,276
Escambia,2012,274,37,237
Sarasota,2012,240,40,200
St. Johns,2012,217,27,190
Bay,2012,204,27,177
Alachua,2012,202,22,180
Okaloosa,2012,202,21,181
Hernando,2012,184,20,164
Santa Rosa,2012,178,17,161
Monroe,2012,163,14,149
Leon,2012,157,31,126
Seminole,2012,149,19,130
Lake,2012,148,31,117
Collier,2012,146,25,121
Citrus,2012,134,18,116
St. Lucie,2012,133,26,107
Flagler,2012,127,14,113
Charlotte,2012,123,14,109
Osceola,2012,120,21,99
Walton,2012,114,13,101
Columbia,2012,112,9,103
Putnam,2012,104,22,82
Clay,2012,98,14,84
Highlands,2012,94,16,78
Sumter,2012,92,17,75
Indian River,2012,91,9,82
Martin,2012,91,23,68
Suwannee,2012,75,13,62
Levy,2012,65,8,57
Jackson,2012,64,9,55
Gadsden,2012,58,12,46
Desoto,2012,56,5,51
Hardee,2012,49,7,42
Nassau,2012,47,10,37
Taylor,2012,41,11,30
Madison,2012,40,8,32
Dixie,2012,29,8,21
Hendry,2012,28,6,22
Holmes,2012,28,2,26
Washington,2012,28,10,18
Calhoun,2012,27,4,23
Jefferson,2012,26,6,20
Hamilton,2012,25,7,18
Baker,2012,25,6,19
Okeechobee,2012,24,7,17
Wakulla,2012,19,6,13
Bradford,2012,18,4,14
Gilchrist,2012,16,2,14
Liberty,2012,16,1,15
Gulf,2012,9,3,6
Lafayette,2012,9,0,9
