day_of_week,hour,total
Monday,0,381
Monday,1,352
Monday,2,287
Monday,3,254
Monday,4,247
Monday,5,357
Monday,6,753
Monday,7,898
Monday,8,871
Monday,9,768
Monday,10,737
Monday,11,811
Monday,12,1002
Monday,13,1026
Monday,14,1079
Monday,15,1134
Monday,16,1220
Monday,17,1279
Monday,18,1139
Monday,19,932
Monday,20,800
Monday,21,745
Monday,22,551
Monday,23,423
Tuesday,0,274
Tuesday,1,265
Tuesday,2,231
Tuesday,3,208
Tuesday,4,175
Tuesday,5,305
Tuesday,6,727
Tuesday,7,1006
Tuesday,8,941
Tuesday,9,821
Tuesday,10,817
Tuesday,11,899
Tuesday,12,1000
Tuesday,13,976
Tuesday,14,1070
Tuesday,15,1204
Tuesday,16,1234
Tuesday,17,1238
Tuesday,18,1184
Tuesday,19,914
Tuesday,20,869
Tuesday,21,765
Tuesday,22,576
Tuesday,23,446
Wednesday,0,345
Wednesday,1,296
Wednesday,2,268
Wednesday,3,203
Wednesday,4,186
Wednesday,5,355
Wednesday,6,704
Wednesday,7,955
Wednesday,8,1009
Wednesday,9,761
Wednesday,10,788
Wednesday,11,829
Wednesday,12,995
Wednesday,13,985
Wednesday,14,1112
Wednesday,15,1152
Wednesday,16,1232
Wednesday,17,1290
Wednesday,18,1208
Wednesday,19,980
Wednesday,20,908
Wednesday,21,809
Wednesday,22,644
Wednesday,23,484
Thursday,0,377
Thursday,1,289
Thursday,2,357
Thursday,3,259
Thursday,4,205
Thursday,5,384
Thursday,6,756
Thursday,7,905
Thursday,8,920
Thursday,9,740
Thursday,10,758
Thursday,11,886
Thursday,12,952
Thursday,13,927
Thursday,14,1091
Thursday,15,1214
Thursday,16,1249
Thursday,17,1246
Thursday,18,1163
Thursday,19,970
Thursday,20,933
Thursday,21,847
Thursday,22,745
Thursday,23,527
Friday,0,402
Friday,1,384
Friday,2,411
Friday,3,312
Friday,4,269
Friday,5,379
Friday,6,709
Friday,7,867
Friday,8,879
Friday,9,784
Friday,10,788
Friday,11,901
Friday,12,1023
Friday,13,987
Friday,14,1196
Friday,15,1320
Friday,16,1421
Friday,17,1306
Friday,18,1330
Friday,19,1095
Friday,20,1057
Friday,21,1087
Friday,22,984
Friday,23,881
Saturday,0,738
Saturday,1,726
Saturday,2,839
Saturday,3,622
Saturday,4,501
Saturday,5,458
Saturday,6,507
Saturday,7,467
Saturday,8,594
Saturday,9,645
Saturday,10,814
Saturday,11,925
Saturday,12,990
Saturday,13,989
Saturday,14,1033
Saturday,15,1076
Saturday,16,1068
Saturday,17,1030
Saturday,18,1176
Saturday,19,1135
Saturday,20,1143
Saturday,21,1141
Saturday,22,1041
Saturday,23,896
Sunday,0,671
Sunday,1,768
Sunday,2,861
Sunday,3,727
Sunday,4,541
Sunday,5,427
Sunday,6,413
Sunday,7,362
Sunday,8,399
Sunday,9,515
Sunday,10,631
Sunday,11,712
Sunday,12,823
Sunday,13,919
Sunday,14,900
Sunday,15,922
Sunday,16,983
Sunday,17,994
Sunday,18,1121
Sunday,19,1013
Sunday,20,1055
Sunday,21,871
Sunday,22,697
Sunday,23,537
