county,fatal,serious_injury,total,fatal_share_pct
Miami-Dade,1928,11075,13003,14.8
Broward,1401,9523,10924,12.8
Hillsborough,1255,9081,10336,12.1
Orange,1021,9242,10263,9.9
Pinellas,798,6698,7496,10.6
Palm Beach,1051,5999,7050,14.9
Duval,927,5367,6294,14.7
Pasco,525,5331,5856,9.0
Volusia,693,3893,4586,15.1
Manatee,389,3961,4350,8.9
Brevard,553,3476,4029,13.7
Lee,632,2962,3594,17.6
Polk,739,2747,3486,21.2
Sarasota,324,2656,2980,10.9
Osceola,326,2337,2663,12.2
Marion,470,2112,2582,18.2
Escambia,347,1762,2109,16.5
Lake,335,1644,1979,16.9
Alachua,246,1542,1788,13.8
Hernando,191,1436,1627,11.7
